datetime,Solar_Power(MWh),code
2017-01,11605.42,KSN
2017-02,13670.82,KSN
2017-03,16065.68,KSN
2017-04,17565.8,KSN
2017-05,19500.76,KSN
2017-06,18428.4,KSN
2017-07,14660.26,KSN
2017-08,16186.01,KSN
2017-09,15452.17,KSN
2017-10,13417.71,KSN
2017-11,14669.54,KSN
2017-12,14201.48,KSN
2018-01,15446.67,KSN
2018-02,16496.83,KSN
2018-03,20086.6,KSN
2018-04,21400.29,KSN
2018-05,20817.57,KSN
2018-06,20992.18,KSN
2018-07,23028.97,KSN
2018-08,20711.3,KSN
2018-09,16361.83,KSN
2018-10,21083.33,KSN
2018-11,16445.5,KSN
2018-12,15937.53,KSN
2019-01,20202.94,KSN
2019-02,20229.54,KSN
2019-03,26675.16,KSN
2019-04,23828.29,KSN
2019-05,31441.71,KSN
2019-06,26742.97,KSN
2019-07,22536.25,KSN
2019-08,25265.43,KSN
2019-09,19420.25,KSN
2019-10,23772.56,KSN
2019-11,20324.86,KSN
2019-12,18939.24,KSN
2020-01,17664.45,KSN
2020-02,24087.48,KSN
2020-03,30890.93,KSN
2020-04,34416.63,KSN
2020-05,32087.02,KSN
2020-06,30992.38,KSN
2020-07,19666.53,KSN
2020-08,27349.36,KSN
2020-09,24836.65,KSN
2020-10,31437.66,KSN
2020-11,24685.35,KSN
2020-12,24123.99,KSN
2021-01,25074.32,KSN
2021-02,28270.97,KSN
2021-03,34368.1,KSN
2021-04,39005.01,KSN
2021-05,37229.62,KSN
2021-06,35045.44,KSN
2021-07,34919.68,KSN
2021-08,30289.27,KSN
2021-09,24501.76,KSN
2021-10,33920.25,KSN
2021-11,29062.8,KSN
2021-12,33243.94,KSN
2022-01,37354.82,KSN
2022-02,43435.49,KSN
2022-03,45252.88,KSN
2022-04,53954.4,KSN
2022-05,62670.62,KSN
2022-06,45907.21,KSN
2022-07,46007.3,KSN
2022-08,40746.6,KSN
2022-09,42245.08,KSN
2022-10,51232.63,KSN
2022-11,39649.77,KSN
2022-12,39017.09,KSN
2023-01,44620.98,KSN
2023-02,45447.4,KSN
2023-03,5.75,KSN
