datetime,Solar_Power(MWh),code
2017-01,2347.51,KWJ
2017-02,2858.62,KWJ
2017-03,3765.89,KWJ
2017-04,4126.82,KWJ
2017-05,4523.61,KWJ
2017-06,4292.5,KWJ
2017-07,3322.62,KWJ
2017-08,3886.48,KWJ
2017-09,3859.19,KWJ
2017-10,3238.52,KWJ
2017-11,2897.54,KWJ
2017-12,2306.89,KWJ
2018-01,2369.01,KWJ
2018-02,2548.38,KWJ
2018-03,4061.0,KWJ
2018-04,4492.63,KWJ
2018-05,4450.35,KWJ
2018-06,5011.12,KWJ
2018-07,5426.72,KWJ
2018-08,4986.97,KWJ
2018-09,4473.34,KWJ
2018-10,4788.48,KWJ
2018-11,3638.08,KWJ
2018-12,3132.97,KWJ
2019-01,3964.84,KWJ
2019-02,4197.14,KWJ
2019-03,5613.2699999999995,KWJ
2019-04,5149.44,KWJ
2019-05,7230.35,KWJ
2019-06,5851.19,KWJ
2019-07,5025.52,KWJ
2019-08,5776.36,KWJ
2019-09,4694.32,KWJ
2019-10,5305.08,KWJ
2019-11,4560.81,KWJ
2019-12,3934.32,KWJ
2020-01,3745.4900000000002,KWJ
2020-02,4910.0,KWJ
2020-03,7695.88,KWJ
2020-04,8727.2,KWJ
2020-05,7463.81,KWJ
2020-06,6828.91,KWJ
2020-07,4683.02,KWJ
2020-08,5820.5,KWJ
2020-09,5334.69,KWJ
2020-10,6316.24,KWJ
2020-11,4406.32,KWJ
2020-12,3959.77,KWJ
2021-01,3146.44,KWJ
2021-02,4554.84,KWJ
2021-03,6843.46,KWJ
2021-04,7605.8,KWJ
2021-05,7425.29,KWJ
2021-06,7197.99,KWJ
2021-07,6705.85,KWJ
2021-08,6202.56,KWJ
2021-09,5414.59,KWJ
2021-10,6206.94,KWJ
2021-11,4470.73,KWJ
2021-12,3907.03,KWJ
2022-01,5010.06,KWJ
2022-02,5756.36,KWJ
2022-03,6448.01,KWJ
2022-04,8312.95,KWJ
2022-05,9504.55,KWJ
2022-06,7080.47,KWJ
2022-07,6906.31,KWJ
2022-08,6201.3,KWJ
2022-09,6555.63,KWJ
2022-10,7318.93,KWJ
2022-11,5273.36,KWJ
2022-12,3169.11,KWJ
2023-01,4562.13,KWJ
2023-02,6069.83,KWJ
2023-03,0.17,KWJ
