datetime,Solar_Power(MWh),code
2017-01,11605.42,경남
2017-02,13670.82,경남
2017-03,16065.68,경남
2017-04,17565.8,경남
2017-05,19500.76,경남
2017-06,18428.4,경남
2017-07,14660.26,경남
2017-08,16186.01,경남
2017-09,15452.17,경남
2017-10,13417.71,경남
2017-11,14669.54,경남
2017-12,14201.48,경남
2018-01,15446.67,경남
2018-02,16496.83,경남
2018-03,20086.6,경남
2018-04,21400.29,경남
2018-05,20817.57,경남
2018-06,20992.18,경남
2018-07,23028.97,경남
2018-08,20711.3,경남
2018-09,16361.83,경남
2018-10,21083.33,경남
2018-11,16445.5,경남
2018-12,15937.53,경남
2019-01,20202.94,경남
2019-02,20229.54,경남
2019-03,26675.16,경남
2019-04,23828.29,경남
2019-05,31441.71,경남
2019-06,26742.97,경남
2019-07,22536.25,경남
2019-08,25265.43,경남
2019-09,19420.25,경남
2019-10,23772.56,경남
2019-11,20324.86,경남
2019-12,18939.24,경남
2020-01,17664.45,경남
2020-02,24087.48,경남
2020-03,30890.93,경남
2020-04,34416.63,경남
2020-05,32087.02,경남
2020-06,30992.38,경남
2020-07,19666.53,경남
2020-08,27349.36,경남
2020-09,24836.65,경남
2020-10,31437.66,경남
2020-11,24685.35,경남
2020-12,24123.99,경남
2021-01,25074.32,경남
2021-02,28270.97,경남
2021-03,34368.1,경남
2021-04,39005.01,경남
2021-05,37229.62,경남
2021-06,35045.44,경남
2021-07,34919.68,경남
2021-08,30289.27,경남
2021-09,24501.76,경남
2021-10,33920.25,경남
2021-11,29062.8,경남
2021-12,33243.94,경남
2022-01,37354.82,경남
2022-02,43435.49,경남
2022-03,45252.88,경남
2022-04,53954.4,경남
2022-05,62670.62,경남
2022-06,45907.21,경남
2022-07,46007.3,경남
2022-08,40746.6,경남
2022-09,42245.08,경남
2022-10,51232.63,경남
2022-11,39649.77,경남
2022-12,39017.09,경남
2023-01,44620.98,경남
2023-02,45447.4,경남
2023-03,5.75,경남
2017-01,18266.35,경북
2017-02,22631.27,경북
2017-03,25549.24,경북
2017-04,28396.56,경북
2017-05,33896.39,경북
2017-06,33262.41,경북
2017-07,23436.6,경북
2017-08,26364.67,경북
2017-09,28702.21,경북
2017-10,22425.56,경북
2017-11,23583.78,경북
2017-12,22519.08,경북
2018-01,24629.34,경북
2018-02,28553.54,경북
2018-03,33017.02,경북
2018-04,35987.87,경북
2018-05,35758.29,경북
2018-06,35841.5,경북
2018-07,38605.1,경북
2018-08,35300.34,경북
2018-09,30286.93,경북
2018-10,35910.73,경북
2018-11,26856.45,경북
2018-12,27139.92,경북
2019-01,34353.42,경북
2019-02,35831.08,경북
2019-03,45234.0,경북
2019-04,44355.09,경북
2019-05,57261.81,경북
2019-06,49204.65,경북
2019-07,40362.23,경북
2019-08,45432.34,경북
2019-09,34371.58,경북
2019-10,39292.78,경북
2019-11,33228.32,경북
2019-12,32546.7,경북
2020-01,30407.0,경북
